unique_id,ds,y_freight,y_items,y_weight_kg,items_missing_weight
01_04,2018-01-01,26.21,2,0.4,0
01_04,2018-01-08,41.5,5,1.325,0
01_04,2018-01-15,47.77,5,3.375,0
01_04,2018-01-22,35.92,3,8.549999999999999,0
01_04,2018-01-29,60.830000000000005,4,19.35,0
01_04,2018-02-05,8.72,1,0.2,0
01_04,2018-02-12,7.78,1,0.05,0
01_04,2018-02-19,15.57,2,1.15,0
01_04,2018-02-26,28.23,3,1.05,0
01_04,2018-03-05,8.4,1,0.2,0
01_04,2018-03-12,37.05,5,2.175,0
01_04,2018-03-19,36.949999999999996,5,1.275,0
01_04,2018-03-26,8.29,1,0.15,0
01_04,2018-04-02,31.060000000000002,4,1.7000000000000002,0
01_04,2018-04-09,54.42,6,7.2250000000000005,0
01_04,2018-04-16,48.629999999999995,6,2.267,0
01_04,2018-04-23,23.97,3,0.65,0
01_04,2018-04-30,67.28,5,3.4000000000000004,0
01_04,2018-05-07,17.88,2,1.1,0
01_04,2018-05-14,44.339999999999996,6,2.313,0
01_04,2018-05-21,7.39,1,0.15,0
01_04,2018-05-28,7.39,1,0.05,0
01_04,2018-06-11,7.39,1,0.375,0
01_04,2018-06-18,7.44,1,0.5,0
01_04,2018-06-25,16.84,2,0.9,0
01_04,2018-07-16,14.809999999999999,2,0.55,0
01_04,2018-07-23,7.39,1,0.203,0
01_04,2018-07-30,53.47,6,2.924,0
01_04,2018-08-06,50.87,5,2.95,0
01_04,2018-08-13,31.31,4,1.5130000000000001,0
01_04,2018-08-20,35.32,4,1.85,0
01_05,2016-10-03,9.07,1,0.6,0
01_05,2017-02-13,8.72,1,0.1,0
01_05,2017-02-20,13.42,1,2.0,0
01_05,2017-03-06,8.92,1,1.3,0
01_05,2017-04-17,8.72,1,0.2,0
01_05,2017-05-22,35.5,4,0.9,0
01_05,2017-05-29,11.83,1,0.9,0
01_05,2017-06-26,7.78,1,0.15,0
01_05,2017-07-03,7.78,1,0.15,0
01_05,2017-07-17,7.78,1,0.4,0
01_05,2017-10-02,11.78,1,0.85,0
01_05,2017-10-16,7.78,1,0.167,0
01_05,2017-10-30,7.78,1,0.2,0
01_05,2017-11-13,11.73,1,1.25,0
01_05,2017-11-20,17.12,2,0.85,0
01_05,2017-11-27,42.760000000000005,4,8.938,0
01_05,2017-12-04,11.78,1,0.85,0
01_05,2017-12-11,7.78,1,0.15,0
01_05,2017-12-18,16.5,2,0.44999999999999996,0
01_05,2017-12-25,26.46,3,1.4,0
01_05,2018-01-15,15.56,2,0.35,0
01_05,2018-01-22,16.5,2,0.75,0
01_05,2018-01-29,24.28,3,1.15,0
01_05,2018-02-05,23.34,3,0.575,0
01_05,2018-02-12,7.78,1,0.1,0
01_05,2018-02-19,32.06,4,0.625,0
